temperature,max_output_tokens,sample,status,input_tokens,output_tokens,total_tokens,cost_usd,first_draft_violations,repair_calls,trimmed_activities,duration_s,error
0.0,2000,0,ok,1338,1078,2416,0.000771,0,0,0,10.15,
0.0,4000,0,ok,1338,1182,2520,0.000814,0,0,0,10.90,
0.0,8000,0,ok,1338,1164,2502,0.000803,0,0,0,9.73,
0.0,,0,ok,1338,1180,2518,0.000813,0,0,0,11.59,
0.3,2000,0,ok,1338,1154,2492,0.000797,0,0,0,9.47,
0.3,4000,0,ok,1338,1153,2491,0.000797,0,0,0,10.28,
0.3,8000,0,ok,1338,998,2336,0.000704,0,0,0,8.78,
0.3,,0,ok,1338,1245,2583,0.000852,0,0,0,10.36,
0.7,2000,0,ok,1338,1248,2586,0.000853,0,0,0,11.47,
0.7,4000,0,ok,1338,969,2307,0.000686,0,0,0,8.88,
0.7,8000,0,ok,1338,822,2160,0.000598,0,0,0,7.47,
0.7,,0,ok,1338,1261,2599,0.000861,0,0,0,10.79,
1.0,2000,0,ok,1338,1259,2597,0.000860,0,0,0,11.29,
1.0,4000,0,ok,1338,1331,2669,0.000903,0,0,0,10.95,
1.0,8000,0,ok,1338,1119,2457,0.000776,0,0,0,10.15,
1.0,,0,ok,1338,1010,2348,0.000711,0,0,0,8.64,
